Title,Company,Location,Contract,Salary,Description
Data Analyst H/F,Airbus,13700 Marignane,Temps plein,Negotiable,"De même, vous êtes ouvert à l'apprentissage du point de vue des métiers du support client (rechanges, entretien, maintien en condition de vol) et êtes capable d…"
Data Scientist (F/H),BPCE SA,Charenton-le-Pont (94),Temps plein,Negotiable,"Les expertises de ses équipes sont mises au service du groupe, de ses entreprises et de leurs clients."
DATA ANALYSTE,FINDIT CONSULTING,Paris (75),Temps plein,De 550 € à 650 € par semaine,Exploiter les différentes sources d’information de l’entreprise.
Data Scientist (F/H),Groupe BPCE,Charenton-le-Pont (94),Temps plein,Negotiable,"Les expertises de ses équipes sont mises au service du groupe, de ses entreprises et de leurs clients."
Data Scientist Risque de crédit-(H/F),Société Générale,Fontenay-sous-Bois (94),Temps plein,Negotiable,Construire et maintenir des bases de données fiables et exploitables pour les besoins de la modélisation et du backtesting.
Consultant débutant data analytics F/H - Paris,EY,92037 La Défense,Temps plein,Negotiable,
DATA SCIENTIST H/F,Groupement Les Mousquetaires,Châtillon (92),Temps plein,Negotiable,"Les bénéfices du cloud Microsoft Azure et de ses technologies d’Intelligence Artificielle (telles que le Machine Learning, la Data Visualisation ou encore la…"
"Ingénieur IA, Data Analys",Scalian,Paris (75),Temps plein,Negotiable,"Dans le cadre de nos activités d'analyses opérationnelles, vous assurerez l'analyse des données d'exploitation qui sont enregistrées et mises à disposition afin…"
EMEA Data Scientist,International Paper,71103 Chalon-sur-Saône,Temps plein,Negotiable,"Structuring, developing and optimizing data lake and data engines."
Research Engineer – Data Scientist,PPRS Research,Colmar (68),Temps plein,Negotiable,Echanges et collaboration avec des scientifiques et ingénieurs d’expertises variées.
DATA ANALYST SANTÉ H/F,Chela+,94100 Paris,Temps plein,Negotiable,"Extraire et normaliser les données depuis des sources externes (open data santé ATIH, PMSI)."
Data Scientist,HBS RESEARCH,Télétravail hybride à Courbevoie (92),Temps plein,Negotiable,"Datavore : Open Data, big data, cartographie, théorie des graphes, Machine Learning, IA."
Junior Data Analyst,BlaBlaCar,Paris (75),CDI,Negotiable,Experience in synthesizing and communicating data clearly.
Data Scientist / Artificial Intelligence m/f,Airbus,13700 Marignane,CDI,Negotiable,The successful applicant will join Airbus Helicopters Digital Acceleration Office.
Data Scientist / Freelanc,KatchMe,Paris (75),CDI,Negotiable,"Vous intègrerez l'équipe Digital Solutions située au sein de la R&D de chez mon client, qui a pour objectif d'accompagner les branches de la compagnie dans…"
Data Analyst Junior,RSM France,Paris (75),CDI,Negotiable,"RSM France à Paris est organisé autour de 4 pôles opérationnels : Expertise Conseil, Audit, Conseil et Corporate Finance, nous travaillons au quotidien avec une…"
Data Scientist,Numberly,75009 Paris 9e,CDI,Negotiable,"You will join the data science and analysis team, composed of data scientists, data analysts and a machine learning engineer, where you will be designing new…"
Data Scientist H/F,Insitoo,Lille (59),CDI,Negotiable,Développer des algorithmes de Data Science en cohérence avec le besoin métier.
Data Scientist (Biostatistician),SOPHiA GENETICS,Télétravail à Bordeaux (33),CDI,Negotiable,You will carry out explanatory and predictive statistical studies using multimodal and longitudinal data.
Data Scientist (H/F),pasteque.io,17000 La Rochelle,CDI,Negotiable,"Tu as une expérience en machine learning et en data visualisation tels que Looker, Tableau ou autre."
Data Scientist F/H,Safran,"Montereau-sur-le-Jard (77)
+ 1 lieu",CDI,Negotiable,"Titulaire d'un master en data science ou statistique, ou encore Ingénieur généraliste avec un intérêt ou une expérience dans l'exploitation de données et la…"
Data Scientist (H/F),LES MOUSQUETAIRES,92320 Châtillon,CDI,Negotiable,"ITM Alimentaire International, branche alimentaire du groupement les Mousquetaires recherche un Data Scientist H/F pour rejoindre son service Data au sein de l…"
Consultant Data Scientist,Sogeti,Paris (75),CDI,Negotiable,Nous recherchons un/e Développeur/se confirmé/e Big Data (F/H) pour intégrer nos équipes BI / Big Data & Software.
Data Scientist F/H,Bpifrance,Maisons-Alfort (94),CDI,Negotiable,"Analyser en profondeur les données en respectant les étapes clés d’un projet data science : récupération et nettoyage des données, création d’indicateurs et…"
Data Scientist H/F,Stellantis,Poissy (78),CDI,Negotiable,Statut cadre
Data Scientist - NORD - Lille F/H (IT),OTTEO,Lille (59),CDI,De 38 000 € à 45 000 € par an,Vous accompagnerez notre client nordiste dans le secteur du Retail.
