Title,Company,Location,Contract,Salary,Description
Développeur VBA / Commando / Freelanc,Symbioz Technology,Paris (75),De 37 000 € à 45 000 € par an,De 400 € à 550 € par jour,TJM Maximum est 500€ - aucun dépassement n'est possible.
Développeur backend Pytho,PYSAE,Télétravail,De 37 000 € à 45 000 € par an,Negotiable,75 clients avec 3000 bus équipés nous font confiance.
Développeur Java - Grand Groupe Nantais H/F,Silkhom,Saint-Herblain (44),45 000 € par an,45 000 € par an,"Nous recherchons un profil polyvalent, avec une expérience significative (>3 ans) dans une entreprise en tant que développeur JAVA, idéalement titulaire d'un…"
Freelance // Développeur Front,KRDS,Paris (75),45 000 € par an,Negotiable,Vous développerez le frontend de nos outils de management de bots d’automatisation.
Développeur e-commerce prestashop H/F,Cristal'ID,59491 Villeneuve-d'Ascq,45 000 € par an,De 24 000 € à 30 000 € par an,"Intégré au studio de production, vous participez à la création des sites web de nos clients, e-commerce sous prestashop ou sites vitrines / catalogues…"
Collaborateurs Développeurs Web,Ambika,Saint-Maur-des-Fossés (94),45 000 € par an,Negotiable,Type de contrat : à définir.
Développeur .NET C# H/F,Gfi,Nantes (44),45 000 € par an,Negotiable,Nantes Gfi CDI Informatique Développeur .NET.
Lead développeur PHP Symfony H/F,HR-TEAM,Paris (75),45 000 € par an,De 45 000 € à 65 000 € par an,Nous recherchons un Lead Développeur PHP/ Symfony (H/F).
Développeur.se #,RDT Ingenieurs,"Nantes (44)
+ 1 lieu",45 000 € par an,Negotiable,"Si vous vous reconnaissez dans le descriptif du poste et des missions, c'est que vous avez certainement déjà occupé une fonction similaire."
Développeur C# (H/F),HR-TEAM,Paris (75),45 000 € par an,De 40 000 € à 45 000 € par an,"Net, C#, bases SQL serveur, gestionnaire de sources GIT, TFS avec la CI/CD, tests unitaires)."
Développeur c# .net anglais courant (remote) H/F / Freelanc,LeHibou,Télétravail à Nantes (44),45 000 € par an,520 € par jour,Net Core. Les échanges seront majoritairement en anglais.
DEV_C#_.NET (IT) / Freelanc,Smarteo,Nantes (44),45 000 € par an,Negotiable,Le service du client a besoin de renforcer l’équipe de développeurs pour prendre en charge les différents projets à réaliser.
Développeur JAVA junior F/H - Tours,Capgemini,"Tours (37)
+ 1 lieu",45 000 € par an,Negotiable,Tu seras force de proposition en ce qui concerne l’optimisation et les évolutions sur les procédures et technologies afin de faire avancer le projet.
Développeur PL/SQL H/F,TOPSOLID,"91000 Évry
+ 2 lieux",45 000 € par an,Negotiable,"Fort de plus de trente-cinq années d’expérience, TOPSOLID SAS est un leader mondial dans l’édition de logiciel CAO-CFAO-ERP."
DÉVELOPPEUR PL/SQL CONFIRMÉ / Freelanc,GROUPE ALLIANCE,Paris (75),45 000 € par an,De 400 € à 550 € par jour,Nous recherchons pour l'un de nos clients grands comptes un développeur PL/SQL confirmé à sénior avec OBLIGATOIREMENT 5 ans d'expérience minimum.
Développeur web wordpress h/f / Freelanc,Synelience,Paris (75),45 000 € par an,De 350 € à 480 € par jour,"Dans le cadre de nos missions d'expertises vous intégrez le pôle Web,CRM,BI de notre client basé à Paris 13ème."
Développeur Java H/F,Thales,49300 Cholet,45 000 € par an,Negotiable,Vous travaillerez dans une équipe de 6 développeurs en mode feature teams.
Développeur front end Angular / Freelanc,DEV AND CONNECT,Paris (75),De 400 € à 530 € par jour,De 400 € à 530 € par jour,Le démarrage est fixé pour début février 2023.
DÉVELOPPEUR / WEBMASTER,Penser Mieux L'Énergie,75003 Paris,De 400 € à 530 € par jour,De 30 000 € à 40 000 € par an,"Participer au développement fonctionnel et technique de notre écosystème web, sites, simulateur, API, plateformes client et partenaire."
Développeur C# .Net confirmé,XRAYS Trading,Paris (75),De 400 € à 530 € par jour,75 000 € par an,Statut cadre
Développeur Windev (H/F),Helix Développement,21000 Dijon,De 400 € à 530 € par jour,De 30 000 € à 35 000 € par an,"Pour ce faire, vous suivez les projets jusqu’à leur concrétisation."
Développeur Windev (IT) / Freelanc,Intuition It Solutions Ltd.,Nantes (44),De 400 € à 530 € par jour,Negotiable,Accompagner les développeurs plus juniors sur l’équipe.
Développeur Java,NOVA TECHNOLOGY,Saint-Cloud (92),De 400 € à 530 € par jour,De 45 000 € à 62 000 € par an,Intervenir dans les développements des briques applicatives critiques et dans la réalisation des actions de maintenance évolutive et corrective.
Lead développeur H/F,Leihia,"Télétravail hybride à 44800 Saint-Herblain
+ 3 lieux",De 400 € à 530 € par jour,À partir de 40 000 € par an,Leihia est la première plateforme digitale qui combine l'intelligence artificielle et l'humain afin de révéler quels sont vos talents.
Développeur Vuejs H/F,Inetum,Nantes (44),De 400 € à 530 € par jour,Negotiable,Nous sommes une ESN agile et un groupe international.
Développeur web (H/F),VP&White,Paris (75),De 400 € à 530 € par jour,Negotiable,"Situé à Boulogne-Billancourt, Lyon et Londres (UK), VPWHITE est un éditeur et intégrateur de solutions dans les domaines de la RSE, QHSE, Gestion des Risques et…"
Développeur c# .net anglais courant (remote) H/F (IT) / Freelanc,LeHibou,Télétravail à Nantes (44),De 400 € à 530 € par jour,Negotiable,Notre client industrialise des produits high tech pour des industriels.
Développeurs web (Junior/Senior) - (H/F),Webcompetence,Le Raincy (93),De 400 € à 530 € par jour,Negotiable,"Diplômés BAC+2 à +5 (selon expérience, statut et poste), une connaissance poussée des technologies que nous utilisons n’est pas indispensable, nous privilégions…"
Développeur Java,Twenty One Talents,"Paris (75)
+ 1 lieu",De 400 € à 530 € par jour,De 40 000 € à 65 000 € par an,"Concevoir, développer et maintenir des services métiers et des API REST."
Formateur(trice) Développeur(se) Java/Angular - Freelance...,Wild Code School,"Télétravail à 28240 La Loupe
+ 1 lieu",De 400 € à 530 € par jour,Negotiable,"Au sein de *l’équipe Teaching* de la _Wild Code School_, le(la) formateur(trice) encadre et coach les élèves à temps complet et en relation avec le reste de l…"
Développeur .NET (H/F),ARTEMYS,Le Havre (76),De 400 € à 530 € par jour,De 30 000 € à 35 000 € par an,"Analyser des besoins et des contraintes du client grâce au cahier des charges qui t'auras été fourni par le directeur de projet,."
Apprentissage - Développeur Web Junior (H/F),3WRH,Nantes (44),De 400 € à 530 € par jour,Negotiable,La 3WRH recherche pour ses entreprises partenaires des apprentis développeurs web ou webdesigners.
Développeur Full Stack,TRSB,Lille (59),De 40 000 € à 45 000 € par an,De 40 000 € à 45 000 € par an,Voici les missions attendues par le Développeur Full Stack (H/F).
Dev python/ELK senior H/F,ALBEARSON,44000 Nantes,De 40 000 € à 45 000 € par an,De 45 000 € à 55 000 € par an,Mettre en oeuvre une stack data.
Développeur C# / .Net -10 ans XP,Mindigital,Télétravail à Montpellier (34),De 40 000 € à 45 000 € par an,De 55 000 € à 65 000 € par an,Après avoir conquis le marché américain cette société souhaite se développer davantage sur le marché français et dans ce cadre elle souhaite renforcer son…
Développeur .Net / Freelanc,DEV AND CONNECT,Paris (75),De 40 000 € à 45 000 € par an,De 400 € à 650 € par jour,
Intégrateur développeur,AIS,Nantes (44),De 40 000 € à 45 000 € par an,Negotiable,Et en étroite collaboration avec.
Développeur .NET H/F,Nexton Consulting FR,Paris (75),De 40 000 € à 45 000 € par an,Negotiable,La compréhension des besoins métier et l’analyse fonctionnelle.
Développeur junior Full Stack,Agence Inspire,Grenoble (38),De 40 000 € à 45 000 € par an,De 36 000 € à 42 000 € par an,Vous avez la responsabilité de la conception et du développement des logiciels en environnement Web (parfois full responsive) destinés à nos clients exploitants…
Développeur Java H/F,Gfi,Nantes (44),De 40 000 € à 45 000 € par an,Negotiable,Nantes Gfi CDI Informatique Développeur Java.
Développeur/Développeuse FullstackJava React Spring Boot,hydrochain,Paris (75),De 40 000 € à 45 000 € par an,De 45 000 € à 65 000 € par an,"Afin d'accompagner la forte croissance de notre entreprise, nous recherchons des Développeurs et Développeuses FullStack Java/React (ou Angular)."
Backend Developer (Node/Nest/Typescript) - Remote Partiel (2j TT),Twenty One Talents,Télétravail à Paris (75),De 40 000 € à 45 000 € par an,De 45 000 € à 90 000 € par an,Tu réalises quotidiennement un code solide à toute épreuve.
