Title,Company,Location,Contract,Salary,Description
DevOps Engineer(H/F),Insitoo,Grenoble (38),De 500 € à 600 € par jour,Negotiable,"Actuellement, afin de répondre aux besoins de nos clients, nous recherchons un DevOps Engineer(H/F) à Grenoble, Auvergne-Rhône-Alpes, France."
DEVOPS / SRE - FULL REMOTE,Harnham,Télétravail à Paris (75),De 500 € à 600 € par jour,De 55 000 € à 70 000 € par an,Cette scale up développant une plateforme SaaS de traitement de grosse volumétrie en temps réel permet aux entreprises de sécuriser leurs infrastructure.
Ingénieur DevOps - F/H,CS Novidy's,92350 Le Plessis-Robinson,De 500 € à 600 € par jour,Negotiable,"Au sein du service Intégration Système, vous serez intégré à une équipe projet pluridisciplinaires."
DEVOPS ENGINEER - REMOTE,Harnham,Télétravail à Paris (75),De 500 € à 600 € par jour,De 60 000 € à 75 000 € par an,Cette start up développe depuis plusieurs années une plateforme e-commerce permettant à ses clients d'avoir accès à plus de 6 millions d'offres.
Ingénieur DevOps H/F F/H,Safran,Massy (91),De 500 € à 600 € par jour,Negotiable,Monitoring et maintien en condition opérationnelle de l'infrastructure : vous participerez activement à la supervision de notre infrastructure et vous serez en…
Ingénieur DevOps / Automation - GRENOBLE (H/F),Capgemini,"Grenoble (38)
+ 2 lieux",CDI,Negotiable,"Au sein d’une équipe interne à Capgemini, vous travaillez en étroite collaboration avec les équipes délivrant des projets auprès de nos clients."
Consultant DevOps Kubernetes (H/F),@talentEgal,Toulouse (31),CDI,Negotiable,Mettre en œuvre le monitoring (supervision du run et du build).
Devops,Cafeyn,Télétravail à 75009 Paris 9e,CDI,Negotiable,"As the group is currently hosted on different cloud and bare-metal providers (AWS, OVH, GCP, Azure), the team's mission is to ensure the availability,…"
Ingénieur DevOps (H/F),NEXEO Groupe,Paris (75),CDI,Negotiable,Vous interviendrez au sein de l’entité responsable des environnements de non production des applications CLM et a pour vocation l’amélioration du processus et…
DevOps (H/F),Linkvalue,75017 Paris 17e,CDI,Negotiable,Industrialisation et automatisation des installations et des configurations de l’infrastructure existante avec Ansible.
Stage – Ingénieur DevOps F/H,LYRA Network,"Toulouse (31)
+ 1 lieu",CDI,Negotiable,Sujet : Faire évoluer notre solution de monitoring et d’alerting des activités de CI/CD*.
Ingénieur DevOps,BOSSTEK,Noisy-le-Grand (93),CDI,À partir de 35 000 € par an,"En rejoignant BOSSTEK, vous faites le choix de rejoindre une équipe dynamique et ouverte d'esprit."
Ingénieur(e) DevOps junior F/H,engIT,Sophia Antipolis (06),CDI,À partir de 38 000 € par an,Analyser les technologies actuelles utilisées dans l’entreprise et mettre au point des mesures et des processus pour les améliorer et les développer.
Stage 06 Mois à Nanterre - Stagiaire Programme Transfo DevOps - H/F,BNP Paribas,Nanterre (92),CDI,Negotiable,Comprendre le contexte et les enjeux du Chaos Engineering.
Stage - Ingénieur DevOps H/F,Bouygues Telecom,92360 Meudon,CDI,Negotiable,Mise en place du CI/CD dont pipeline de tests.
DevOps AWX (H/F),Insitoo,Lille (59),CDI,Negotiable,Analyse de l’installation actuelle d’AWX.
DevOps Junior,Data Recrutement,Télétravail hybride à Paris (75),CDI,De 45 000 € à 60 000 € par an,Fonction Infra admin system sre devops.
Alternant 12 mois - Developpeur web junior H/F,Natixis,Charenton-le-Pont (94),CDI,Negotiable,"Vous rejoignez notre équipe au sein de la direction CIB-FGT-GT-Cash Management, qui recherche un Developpeur wb junior, pour une alternance de 12 mois à partir…"
Ingénieur Devops H/F (IT),Atlanse,Parignargues (30),CDI,De 43 000 € à 55 000 € par an,Effectuer l’automatisation de l’infrastructure sur un environnement Legacy.
DevOps Azure (F/H) / Freelanc,FREELANCEREPUBLIK,Paris (75),CDI,De 550 € à 650 € par jour,"Vous réaliserez le maintien en condition opérationnelle des applications déployées dans le Cloud, ainsi que des missions de conseil et expertise."
Devops Senior F/H,Kent FR,Paris (75),De 50 000 € à 55 000 € par an,De 50 000 € à 55 000 € par an,"Dans une société suisse de logiciels dans le secteur des communications mobiles, vous pourrez vous épanouir en tant qu'Ingénieur Devops Junior."
Devops Linux h/f / Freelanc,LeHibou,Paris (75),De 50 000 € à 55 000 € par an,De 400 € à 550 € par jour,Vous assurez un haut niveau de service 24/24 ‐ 7/7 dans les secteurs de la production et des opérations informatiques.
DevOps / Full remot,Sept Lieues,Télétravail,De 50 000 € à 55 000 € par an,De 50 000 € à 80 000 € par an,"Solutions utilisée par de grandes entreprises et grands comptes, plus d'un demi milliard de transactions bancaires réalisées via leur plateforme."
DevOps F/H (IT),OTTEO,Lille (59),De 50 000 € à 55 000 € par an,De 40 000 € à 50 000 € par an,Promouvoir et accompagner les équipes de développement dans l’utilisation des outils de CI/CD.
Sindup Recrute un Devops H/F,Inwest,Angers (49),De 50 000 € à 55 000 € par an,Negotiable,"Utilisée par plus de 120 000 utilisateurs, Sindup est une plateforme de veille stratégique issue de 16 années de R&D et déployée dans plus de 300 entreprises en…"
Ingénieur DEVOPS H/F (IT),ARTEMYS,Hérouville-Saint-Clair (14),De 50 000 € à 55 000 € par an,De 40 000 € à 45 000 € par an,Optimiser le monitoring de la plateforme GCP / des microservices dans le but d’assurer un monitoring efficient de l’infrastructure et des applications.
Développeur Web – alternanc,2emotion,Télétravail à Lyon (69),De 50 000 € à 55 000 € par an,Negotiable,"C’est l’outil de communication puissant et performant pour informer, sensibiliser, former, promouvoir et fidéliser autour d’une marque et de son expertise."
Devops Microservices H/F,U Iris,Carquefou (44),De 50 000 € à 55 000 € par an,Negotiable,"Vous disposez d'une expérience significative en lien avec le Devops, les microservices et l'exploitation des solutions Cloud."
Administrateur / Administratrice système et réseaux d'information et de communicatio,Pôle Emploi,"01150 Saint-Vulbas
+ 2 lieux",De 50 000 € à 55 000 € par an,Negotiable,Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives.
Devops H/F,Horoquartz,"Saint-Herblain (44)
+ 1 lieu",De 50 000 € à 55 000 € par an,Negotiable,"Bénéficier d'un accompagnement dès votre intégration et tout au long de votre carrière (formation, parcours d'évolution, mobilité, etc.)."
